Emotion,Subject,Setting
accepting,children,anniversary
adoring,youth,beach
affectionate,adults,birthday
amused,seniors,circus
appreciative,people,competition
carefree,students,conference
cheerful,toddlers,festival
compassionate,babies,forest
confident,elderly,gathering
content,adolescents,museum
desiring,midlife,nature
empathetic,teenagers,party
excited,pensioner,playground
grateful,retiree,protest
happy,twenty-something,rally
humble,thirty-something,school
joyful,forty-something,sports
kind,fifty-something,wedding
loving,soldiers,work
optimistic,,workplace
peaceful,,classroom
proud,,funeral
satisfied,,kitchen
sweet,,living room
shame,,bedroom
guilt,,bathroom
mocking,,garden
coaxing,,office
seducing,,desert
awe,,summer
embarrassment,,spring
envy,,fall
jealous,,winter
remorse,,city
worry,,countryside
disgusted,,war
appalled,,soccer
outraged,,proposal
grossed out,,tennis
displeased,,fighting
exasperated,,kissing
weary,,hugging
frustrated,,holding
discontent,,playing
repelled,,comforting
ashamed,,
aggressive,,
repulsed,,
fed up,,
furious,,
heated,,
indignant,,
irritable,,
irritated,,
fuming,,
offended,,
bitter,,
raging,,
heartbroken,,
somber,,
pessimistic,,
unhappy,,
depressed,,
grieving,,
sad,,
scared,,
anxious,,
fearful,,
petrified,,
startled,,
shaken,,
surprised,,
astonished,,
shocked,,
pain,,
